DATE,TRK,GRD,DIST,POINTS (LEADERS),RACE (CHART),REPLAY,WINNER,BSF,TFUS,TIME,MRGN,ODDS,JOCKEY,TRAINER,SIRE,BR-SIRE,PLACED,,,
4/15/17,OP,G1,9,100-40-20-10 (PDF),Arkansas Derby (PDF),Video,Classic Empire,94,115,01:48.9,2-Jan,1.90**,Julien Leparoux,Mark Casse,Pioneerof the Nile,Cat Thief,"Conquest Mo Money, Lookin at Lee, Sonneteer",,,
4/15/17,KEE,G3,8.5,10-4-2-1 (PDF),Lexington Stakes (PDF),Video,Senior Investment,89,110,01:45.1,Head,11.1,Channing Hill,Kenny McPeek,Discreetly Mine,Deputy Commander,"West Coast, No Dozing**, Time to Travel",,,
1/6/18,SA,G3,8,10-4-2-1 (PDF),Sham Stakes (PDF),Video,McKinzie,97,119,01:36.6,3 1/2,0.20**,Mike Smith,Bob Baffert,Street Sense,Petionville,"All Out Blitz, My Boy Jack, Shivermetimbers",,,
1/13/18,AQU,---,8,10-4-2-1 (PDF),Jerome Stakes (PDF),Video,Firenze Fire,90,99,01:42.9,2-Jan,0.45**,Manuel Franco,Jason Servis,Poseidon's Warrior,Langfuhr,"Seven Trumpets, Coltandmississippi, Regalian",,,
1/13/18,FG,G3,8*,10-4-2-1 (PDF),Lecomte Stakes (PDF),Video,Instilled Regard,92,118,01:42.6,3 3/4,2.3,Javier Castellano,Jerry Hollendorfer,Arch,Forestry,"Principe Guilherme, Snapper Sinclair, Zing Zang",,,
1/15/18,OP,---,8,10-4-2-1 (PDF),Smarty Jones Stakes (PDF),Video,Mourinho,99,116,01:37.3,3 1/4,0.60**,Drayden Van Dyke,Bob Baffert,Super Saver,More Than Ready,"Combatant, Tap Daddy, Bode's Maker",,,
2/3/18,AQU,G3,9,10-4-2-1 (PDF),Withers Stakes (PDF),Video,Avery Island,87,113,01:51.0,2,1.15**,Joe Bravo,Kiaran McLaughlin,Street Sense,A.P. Indy,"Firenze Fire, Marconi, Coltandmississippi",,,
2/3/18,GP,G3,8.5,10-4-2-1 (PDF),Holy Bull Stakes (PDF),Video,Audible,99,117,01:41.9,5 1/2,3.2,Javier Castellano,Todd Pletcher,Into Mischief,Gilded Time,"Free Drop Billy, Tiz Mischief, Enticed",,,
2/3/18,SA,G3,8.5,10-4-2-1 (PDF),Robert B. Lewis PDF),Video,Lombo,86,113,01:45.4,2,8.7,Flavien Prat,Michael Pender,Graydar,Johannesburg,"Ayacara, Dark Vader, Regulate",,,
2/10/18,TAM,G3,8.5,10-4-2-1 (PDF),Sam F. Davis (PDF),Video,Flameaway,92,118,01:42.4,2-Jan,10.3,Jose Lezcano,Mark Casse,Scat Daddy,Fusaichi Pegasus,"Catholic Boy, Vino Rosso, Hollywood Star",,,
2/17/18,GG,---,9,10-4-2-1 (PDF),El Camino Real (PDF),Video,Paved,86,112,01:50.0,1 1/4,2.10**,Drayden Van Dyke,Michael McCarthy,Quality Road,Cozzene,"City Plan, Blended Citizen, Mugaritz",,,
2/17/18,FG,G2,8.5,50-20-10-5 PDF),Risen Star Stakes (PDF),Video,Bravazo,93,114,01:43.0,Nose,21,Miguel Mena,D. Wayne Lukas,Awesome Again,Cee's Tizzy,"Snapper Sinclair, Noble Indy, Instilled Regard",,,
